ImageFile,ImageName,FoodType,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,intro_1.started,intro_1.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,FamQ.started,FamQ.stopped,FamSlider.response,FamSlider.rt,FamSlider.started,FamSlider.stopped,ComfQ.started,ComfQ.stopped,ComfSlider.response,ComfSlider.rt,ComfSlider.started,ComfSlider.stopped,NosQ.started,NosQ.stopped,NosSlider.response,NosSlider.rt,NosSlider.started,NosSlider.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,8.454694099724293,None,9.670320998877287,None,space,0.8209029007703066,9.670320998877287,None,,,,,,,,,,,,,,,,,,,,,,001,2022_Feb_06_2103,ratouilleExperiment,2021.2.3,60.005964708165486,
images/Caucasian/balogneSandwhich.jpg,balogneSandwhich.jpg,DEMO,0,0,0,2,,,,,,,,,10.647368898615241,None,10.647368898615241,None,None,None,10.647368898615241,None,10.647368898615241,None,None,None,10.647368898615241,None,10.647368898615241,None,None,None,10.647368898615241,None,,001,2022_Feb_06_2103,ratouilleExperiment,2021.2.3,60.005964708165486,
images/Caucasian/bagel.jpg,bagel.jpg,DEMO,0,1,1,1,,,,,,,,,18.57389099895954,None,18.57389099895954,None,None,None,18.57389099895954,None,18.57389099895954,None,None,None,18.57389099895954,None,18.57389099895954,None,None,None,18.57389099895954,None,,001,2022_Feb_06_2103,ratouilleExperiment,2021.2.3,60.005964708165486,
images/Caucasian/baconEggCheese.jpg,baconEggCheese.jpg,DEMO,0,2,2,0,,,,,,,,,26.603919299319386,None,26.603919299319386,None,None,None,26.603919299319386,None,26.603919299319386,None,None,None,26.603919299319386,None,26.603919299319386,None,None,None,26.603919299319386,None,,001,2022_Feb_06_2103,ratouilleExperiment,2021.2.3,60.005964708165486,
