ImageFile,ImageName,FoodType,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,intro_1.started,intro_1.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,FamQ.started,FamQ.stopped,FamSlider.response,FamSlider.rt,FamSlider.started,FamSlider.stopped,ComfQ.started,ComfQ.stopped,ComfSlider.response,ComfSlider.rt,ComfSlider.started,ComfSlider.stopped,NosQ.started,NosQ.stopped,NosSlider.response,NosSlider.rt,NosSlider.started,NosSlider.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,8.628888400271535,None,9.170537799596786,None,space,0.3093950003385544,9.170537799596786,None,,,,,,,,,,,,,,,,,,,,,,001,2022_Feb_06_2109,ratouilleExperiment,2021.2.3,59.89716853901296,
None,None,None,0,0,0,3,,,,,,,,,9.623973300680518,None,9.623973300680518,None,None,None,9.623973300680518,None,9.623973300680518,None,None,None,9.623973300680518,None,9.623973300680518,None,None,None,9.623973300680518,None,,001,2022_Feb_06_2109,ratouilleExperiment,2021.2.3,59.89716853901296,
images/Caucasian/baconEggCheese.jpg,baconEggCheese.jpg,DEMO,0,1,1,0,,,,,,,,,17.583591299131513,None,17.583591299131513,None,None,None,17.583591299131513,None,17.583591299131513,None,None,None,17.583591299131513,None,17.583591299131513,None,None,None,17.583591299131513,None,,001,2022_Feb_06_2109,ratouilleExperiment,2021.2.3,59.89716853901296,
