ImageFile,ImageName,FoodType,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_1.started,intro_1.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,FamQ.started,FamQ.stopped,FamSlider.response,FamSlider.rt,FamSlider.started,FamSlider.stopped,ComfQ.started,ComfQ.stopped,ComfSlider.response,ComfSlider.rt,ComfSlider.started,ComfSlider.stopped,NosQ.started,NosQ.stopped,NosSlider.response,NosSlider.rt,NosSlider.started,NosSlider.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,participant,session,race,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,17.992033399641514,None,19.29233679920435,None,space,1.829355301335454,19.29233679920435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leah,0,american,2022_Feb_06_2124,ratouilleExperiment,2021.2.3,60.0377035735373,
images/Caucasian/balogneSandwhich.jpg,balogneSandwhich.jpg,DEMO,0,0,0,2,,,,,,,,,,,,,21.273672599345446,None,21.273672599345446,None,3.86111119389534,1.8038857989013195,21.273672599345446,None,21.273672599345446,None,2.097222149372101,2.723870798945427,21.273672599345446,None,21.273672599345446,None,5.0972219705581665,3.50573349930346,21.273672599345446,None,,,,,,,,,leah,0,american,2022_Feb_06_2124,ratouilleExperiment,2021.2.3,60.0377035735373,
images/Caucasian/bagel.jpg,bagel.jpg,DEMO,0,1,1,1,,,,,,,,,,,,,29.201405499130487,None,29.201405499130487,None,None,None,29.201405499130487,None,29.201405499130487,None,None,None,29.201405499130487,None,29.201405499130487,None,None,None,29.201405499130487,None,,,,,,,,,leah,0,american,2022_Feb_06_2124,ratouilleExperiment,2021.2.3,60.0377035735373,
images/Caucasian/baconEggCheese.jpg,baconEggCheese.jpg,DEMO,0,2,2,0,,,,,,,,,,,,,37.24754440039396,None,37.24754440039396,None,None,None,37.24754440039396,None,37.24754440039396,None,None,None,37.24754440039396,None,37.24754440039396,None,None,None,37.24754440039396,None,,,,,,,,,leah,0,american,2022_Feb_06_2124,ratouilleExperiment,2021.2.3,60.0377035735373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.168520299717784,None,space,91.79186440072954,45.168520299717784,None,,,leah,0,american,2022_Feb_06_2124,ratouilleExperiment,2021.2.3,60.0377035735373,
images/Indian/aloo_pakora.jpg,aloo_pakora.jpg,Indian,,,,,0,0,0,120,,,,,,,,,137.1429875008762,None,137.1429875008762,None,3.9166664481163025,1.6732624992728233,137.1429875008762,None,137.1429875008762,None,2.0000001192092896,2.4933658000081778,137.1429875008762,None,137.1429875008762,None,4.875000059604645,3.512746199965477,137.1429875008762,None,,,,,,,None,None,leah,0,american,2022_Feb_06_2124,ratouilleExperiment,2021.2.3,60.0377035735373,
images/Indian/kerala-fish-curry.jpg,kerala-fish-curry.jpg,Indian,,,,,0,1,1,173,,,,,,,,,145.24665790051222,145.24665790051222,145.24665790051222,145.24665790051222,6.916666269302368,1.031724100932479,145.24665790051222,145.24665790051222,145.24665790051222,145.24665790051222,3.055555760860443,1.6961327996104956,145.24665790051222,145.24665790051222,145.24665790051222,145.24665790051222,1.083333283662796,2.567560600116849,145.24665790051222,145.24665790051222,,,,,,,None,None,leah,0,american,2022_Feb_06_2124,ratouilleExperiment,2021.2.3,60.0377035735373,
images/Indian/upma.jpg,upma.jpg,Indian,,,,,0,2,2,216,,,,,,,,,153.33393109962344,153.33393109962344,153.33393109962344,153.33393109962344,1.0972222089767456,0.44725989922881126,153.33393109962344,153.33393109962344,153.33393109962344,153.33393109962344,5.430555284023285,1.6710585989058018,153.33393109962344,153.33393109962344,153.33393109962344,153.33393109962344,2.638888895511627,2.6005632001906633,153.33393109962344,153.33393109962344,,,,,,,None,None,leah,0,american,2022_Feb_06_2124,ratouilleExperiment,2021.2.3,60.0377035735373,
images/Indian/samosa.jpg,samosa.jpg,Indian,,,,,0,3,3,203,,,,,,,,,161.42491500079632,161.42491500079632,161.42491500079632,161.42491500079632,3.1527777910232544,0.6139631997793913,161.42491500079632,161.42491500079632,161.42491500079632,161.42491500079632,1,2.2539357002824545,161.42491500079632,161.42491500079632,161.42491500079632,161.42491500079632,4.916666388511658,3.026655398309231,161.42491500079632,161.42491500079632,,,,,,,None,None,leah,0,american,2022_Feb_06_2124,ratouilleExperiment,2021.2.3,60.0377035735373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,
