ImageFile,ImageName,FoodType,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,intro_1.started,intro_1.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,FamQ.started,FamQ.stopped,FamSlider.response,FamSlider.rt,FamSlider.started,FamSlider.stopped,ComfQ.started,ComfQ.stopped,ComfSlider.response,ComfSlider.rt,ComfSlider.started,ComfSlider.stopped,NosQ.started,NosQ.stopped,NosSlider.response,NosSlider.rt,NosSlider.started,NosSlider.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,25.070606099441648,None,26.19155690073967,None,space,0.5499795991927385,26.19155690073967,None,,,,,,,,,,,,,,,,,,,,,kevin,0,2022_Feb_06_2055,ratouilleExperiment,2021.2.3,59.91669197834856,
images/Caucasian/bagel.jpg,bagel.jpg,DEMO,0,0,0,1,,,,,,,,,26.866985300555825,None,26.866985300555825,None,None,None,26.866985300555825,None,26.866985300555825,None,None,None,26.866985300555825,None,26.866985300555825,None,None,None,26.866985300555825,None,kevin,0,2022_Feb_06_2055,ratouilleExperiment,2021.2.3,59.91669197834856,
None,None,None,0,1,1,3,,,,,,,,,34.82171910069883,None,34.82171910069883,None,None,None,34.82171910069883,None,34.82171910069883,None,None,None,34.82171910069883,None,34.82171910069883,None,None,None,34.82171910069883,None,kevin,0,2022_Feb_06_2055,ratouilleExperiment,2021.2.3,59.91669197834856,
images/Caucasian/balogneSandwhich.jpg,balogneSandwhich.jpg,DEMO,0,2,2,2,,,,,,,,,42.839712699875236,None,42.839712699875236,None,None,None,42.839712699875236,None,42.839712699875236,None,None,None,42.839712699875236,None,42.839712699875236,None,None,None,42.839712699875236,None,kevin,0,2022_Feb_06_2055,ratouilleExperiment,2021.2.3,59.91669197834856,
