ImageFile,ImageName,FoodType,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,intro_1.started,intro_1.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,FamQ.started,FamQ.stopped,FamSlider.response,FamSlider.rt,FamSlider.started,FamSlider.stopped,ComfQ.started,ComfQ.stopped,ComfSlider.response,ComfSlider.rt,ComfSlider.started,ComfSlider.stopped,NosQ.started,NosQ.stopped,NosSlider.response,NosSlider.rt,NosSlider.started,NosSlider.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,9.159678598865867,None,9.667126098647714,None,space,0.5345483999699354,9.667126098647714,None,,,,,,,,,,,,,,,,,,,,,,001,2022_Feb_06_2102,ratouilleExperiment,2021.2.3,60.00517196828063,
images/Caucasian/baconEggCheese.jpg,baconEggCheese.jpg,DEMO,0,0,0,0,,,,,,,,,10.34747539833188,None,10.34747539833188,None,None,None,10.34747539833188,None,10.34747539833188,None,None,None,10.34747539833188,None,10.34747539833188,None,None,None,10.34747539833188,None,,001,2022_Feb_06_2102,ratouilleExperiment,2021.2.3,60.00517196828063,
