ImageFile,ImageName,FoodType,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,intro_1.started,intro_1.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image.started,image.stopped,FamQ.started,FamQ.stopped,FamSlider.response,FamSlider.rt,FamSlider.started,FamSlider.stopped,ComfQ.started,ComfQ.stopped,ComfSlider.response,ComfSlider.rt,ComfSlider.started,ComfSlider.stopped,NosQ.started,NosQ.stopped,NosSlider.response,NosSlider.rt,NosSlider.started,NosSlider.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,9.651653099805117,None,10.14481289871037,None,space,0.348470700904727,10.14481289871037,None,,,,,,,,,,,,,,,,,,,,,,001,2022_Feb_06_2059,ratouilleExperiment,2021.2.3,59.935509514711086,
images/Caucasian/baconEggCheese.jpg,baconEggCheese.jpg,DEMO,0,0,0,0,,,,,,,,,10.652489699423313,None,10.652489699423313,None,None,None,10.652489699423313,None,10.652489699423313,None,None,None,10.652489699423313,None,10.652489699423313,None,None,None,10.652489699423313,None,,001,2022_Feb_06_2059,ratouilleExperiment,2021.2.3,59.935509514711086,
images/Caucasian/bagel.jpg,bagel.jpg,DEMO,0,1,1,1,,,,,,,,,18.580321799963713,None,18.580321799963713,None,None,None,18.580321799963713,None,18.580321799963713,None,None,None,18.580321799963713,None,18.580321799963713,None,None,None,18.580321799963713,None,,001,2022_Feb_06_2059,ratouilleExperiment,2021.2.3,59.935509514711086,
